X_deg,Y_deg,Pop,Elevation,LandCover,NightLights,Slope,GHI,SolarRestriction,TravelHours,WindVel,SubstationDist,RoadDist,GridDistCurrent,GridDistPlan,Hydropower,HydropowerFID,HydropowerDist,X,Y,Country,VIIRS,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
1.6360700000000001,6.2392,2253.18921,3.0,7,9,0.17132,1901,1,0.4,5.30628,31.72314,0.24306,0.45065,0.45065,290,7616,39.4649,349107.8395,689841.0935,Benin,2.092968226,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.09458720428304118,2280.3703552326883,0,2848.648379931089,1,1980.2356345445007
1.6761599999999999,6.2473,2308.38501,10.0,0,6,0.26771999999999996,1897,1,0.6333300000000001,4.95861,27.53649,0.19122999999999998,0.34986,0.34986,290,7616,35.13415,353545.7336,690726.3969,Benin,0.774731875,5,1,1,5,5,3.08,1.0485912338854266,0.07521533539180018,2336.232004797996,0,2918.43099097466,1,2028.7449605931513
1.6661400000000002,6.2473,2375.01489,6.0,16,6,0.3126,1897,1,1.08333,4.84251,28.44655,0.34144,0.30657,0.30657,290,7616,36.1045,352437.2795,690729.1949,Benin,0.529878616,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.06914255959541331,2403.66566835824,0,3002.6694112877963,1,2087.3032308510783
1.65612,6.2473,2225.06665,3.0,12,6,0.31066,1897,1,1.0,4.73418,29.37025,0.44453000000000004,0.07496,0.07496,290,7616,37.0826,351328.8211,690732.0141,Benin,0.5392718320000001,5,1,3,5,5,3.86,1.1037024664341613,0.06367210473870674,2251.9085412613476,0,2813.093760448638,1,1955.5198693528969
1.6461,6.2473,1717.80481,2.0,12,7,0.32436,1898,1,0.95,4.63558,30.30635,0.54792,0.28615999999999997,0.28615999999999997,290,7616,38.06785,350220.3581,690734.8544,Benin,0.6389853360000001,5,1,3,5,5,3.86,1.1037024664341613,0.05886493611965364,1738.5273937114766,0,2171.775839919069,1,1509.7082317174536
1.70623,6.2554099999999995,1769.9777800000002,11.0,0,0,0.27182,1893,1,1.25,5.25698,24.335829999999998,0.34878000000000003,0.10105,0.10105,290,7616,31.805509999999998,356875.0804,691614.7323,Benin,0.299291164,5,1,1,5,5,3.08,1.0485912338854266,0.0917397582527966,1791.3297476391544,0,2237.736765795637,1,1555.5609163901363
1.6962099999999998,6.2554099999999995,1966.52185,7.0,12,5,0.16955,1893,1,1.2,5.21149,25.21516,0.59621,0.11059000000000001,0.11059000000000001,290,7616,32.76189,355766.646,691617.4705,Benin,0.641546309,5,1,3,5,5,3.86,1.1037024664341613,0.08914040980099897,1990.2448093373143,0,2486.2223097995347,1,1728.2954428316193
1.74632,6.26352,1357.67639,8.0,7,0,0.29041,1890,1,0.9833299999999999,5.22344,20.40142,1.50567,0.06408,0.06408,290,7616,27.579079999999998,361312.7657,692500.5856,Benin,0.42272198200000005,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.08982059571140502,1374.0545969307807,0,1716.4748666820528,1,1193.2061256665336
1.7363,6.26352,1189.33142,5.0,12,0,0.31206,1890,1,1.55,5.1515699999999995,21.21217,1.03613,0.14787999999999998,0.14787999999999998,290,7616,28.504790000000003,360204.3547,692503.2427,Benin,0.0,5,1,3,5,5,3.86,1.1037024664341613,0.08575887270391289,1203.6788125373625,0,1503.640709687289,0,1503.640709687289
1.7864099999999998,6.27163,1523.38464,4.0,12,6,0.10970999999999999,1888,1,0.9,5.17699,16.76794,0.51694,0.028360000000000003,0.028360000000000003,290,7616,23.46446,365750.3374,693386.7563,Benin,0.443515748,5,1,3,5,5,3.86,1.1037024664341613,0.08718745720050881,1541.7618534898013,0,1925.9754873173326,1,1338.8403139236345
1.7763900000000001,6.27163,1617.54846,6.0,12,6,0.10903,1887,1,1.36667,5.05457,17.46621,0.58167,0.18522,0.18522,290,7616,24.3447,364641.9494,693389.332,Benin,0.279655725,5,1,3,5,5,3.86,1.1037024664341613,0.08039082680736317,1637.0616102569957,0,2045.0243501916239,1,1421.5970353837174
1.76637,6.27163,926.8964800000001,6.0,14,0,0.14344,1887,1,1.41667,5.01295,18.20523,0.8133600000000001,0.3967,0.3967,290,7616,25.242929999999998,363533.5574,693391.9288,Benin,0.160611272,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07812921696545559,938.078012259578,0,1171.8510564480423,1,814.6113211814398
1.8265,6.27974,1456.28638,7.0,16,0,0.14007,1885,1,0.8,5.07487,13.67735,1.7919200000000002,0.13954,0.13954,290,7616,19.53244,370187.7976,694273.2456,Benin,1.390727997,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.08150311931684447,1473.854159669585,0,1841.1449063803705,1,1279.8704036834147
1.8164799999999999,6.27974,1666.44849,3.0,16,7,0.18903,1885,1,0.78333,5.0082699999999996,14.18241,2.89851,0.05802,0.05802,290,7616,20.34124,369079.4321,694275.7397,Benin,0.8801661129999999,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07787651230641007,1686.55154136757,0,2106.8473833482944,1,1464.5732672538743
1.80646,6.27974,1690.0327100000002,6.0,12,7,0.13592,1885,1,1.26667,4.94658,14.75361,2.7887299999999997,0.27181,0.27181,290,7616,21.17719,367971.0627,694278.255,Benin,1.589457631,5,1,3,5,5,3.86,1.1037024664341613,0.0745763161417532,1710.420267482802,0,2136.664297878494,1,1485.3004714538874
1.79644,6.27974,863.2937599999999,4.0,12,7,0.12789,1885,1,1.33333,4.83921,15.383579999999998,1.9023700000000001,0.61665,0.61665,290,7616,22.0372,366862.6893,694280.7914,Benin,0.34786933700000006,5,1,3,5,5,3.86,1.1037024664341613,0.06897307479304017,873.7080265715293,0,1091.43979560803,1,758.7134977589867
1.7864200000000001,6.27974,550.49005,-1.0,14,6,0.07372000000000001,1884,1,1.36667,4.66301,16.06541,1.38526,0.85265,0.85265,290,7616,22.91856,365754.3118,694283.3492,Benin,0.0,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.06018542734693774,557.130837170377,0,695.9702195186193,0,695.9702195186193
1.84655,6.28785,484.03182999999996,6.0,11,0,0.09581,1880,1,0.76667,5.07052,12.03613,0.07193,1.24559,0.43688,290,7616,17.34078,372408.4574,695164.9006,Benin,0.255227685,5,1,1,5,5,3.08,1.0485912338854266,0.08126426809671605,489.8709044150927,0,611.9488244684876,1,425.39573408474905
1.83653,6.28785,347.21578999999997,5.0,12,0,0.10894000000000001,1880,1,0.76667,4.86008,12.41049,0.98924,0.5806600000000001,0.5741,290,7616,18.11169,371300.1062,695167.3553,Benin,0.274448961,5,1,3,5,5,3.86,1.1037024664341613,0.07004789014983866,351.40439643091423,0,438.9758717466933,1,305.15372485496687
1.8265099999999999,6.28785,608.62292,-1.0,12,0,0.18109,1879,1,0.75,4.32972,12.8697,1.94002,0.49512,0.49512,290,7616,18.916179999999997,370191.7511,695169.8313,Benin,0.252620041,5,1,3,5,5,3.86,1.1037024664341613,0.04506203544171545,615.9649878152737,0,769.4660915968656,1,534.8937358813853
1.8165,6.28785,721.62469,3.0,12,7,0.15469000000000002,1879,1,0.75,4.31266,13.40506,2.9916099999999997,0.0699,0.0699,290,7616,19.750120000000003,369083.3921,695172.3285,Benin,0.45953732700000005,5,1,3,5,5,3.86,1.1037024664341613,0.044343764354122746,730.3299444967512,0,912.3312835706214,1,634.2063593963014
1.88664,6.29596,180.25768,3.0,11,0,0.043539999999999995,1873,1,1.3,5.30017,10.63154,4.0683300000000004,4.8492,0.61069,290,7616,13.924539999999999,376845.7437,696051.8670000001,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.09423262059465498,182.43220229827938,0,227.8950856959486,0,227.8950856959486
1.84657,6.29596,221.97321000000002,8.0,11,0,0.07400000000000001,1871,1,0.71667,5.07052,11.18234,0.34179,0.77441,0.77441,290,7616,16.69207,372412.4029,696061.4856,Benin,0.0,5,1,1,5,5,3.08,1.0485912338854266,0.08126426809671605,224.65096383975683,0,280.6349427949744,0,280.6349427949744
1.82653,6.29596,160.74222,0.0,12,0,0.25251999999999997,1869,1,0.71667,4.32972,12.07463,2.40733,0.32253000000000004,0.32253000000000004,290,7616,18.323079999999997,370195.7097,696066.4225,Benin,0.0,5,1,3,5,5,3.86,1.1037024664341613,0.04506203544171545,162.68131930309173,0,203.22219836545676,0,203.22219836545676
1.8064900000000002,6.29596,451.01019,1.0,12,6,0.01547,1867,1,1.2,4.30075,13.28074,3.9903,1.3271700000000002,1.3271700000000002,290,7616,20.066760000000002,367979.0008,696071.4445,Benin,0.0,5,1,3,5,5,3.86,1.1037024664341613,0.04384565582448629,456.4509108331219,0,570.2004258558973,0,570.2004258558973
1.9567900000000003,6.304069999999999,117.33503,3.0,11,0,0.10695999999999999,1872,1,0.71667,5.34596,12.97867,5.64299,8.74585,6.983439999999999,290,7616,10.945310000000001,384607.8275,696932.4115,Benin,0.0,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.09690135552360413,118.75049057346506,0,148.34361962822723,0,148.34361962822723
